|       | Twisted Edge: Extreme Snowboarding               | Midway                  | Nintendo 64 | 1998 | North America
|       | V-Rally Edition '99                              | Infogrames              | Nintendo 64 | 1999 | North America
|       | Vigilante 8                                      | Activision              | Nintendo 64 | 1998 | North America
|       | Vigilante 8: 2nd Offense                         | Activision              | Nintendo 64 | 2000 | North America
|       | Virtual Chess 64                                 | Titus Software          | Nintendo 64 | 1998 | North America
|       | Virtual Pool 64                                  | Crave                   | Nintendo 64 | 1998 | North America
|       | Waialae Country Club: True Golf Classics         | Nintendo                | Nintendo 64 | 1998 | North America
|       | War Gods                                         | Midway                  | Nintendo 64 | 1997 | North America
|       | Wave Race 64                                     | Nintendo                | Nintendo 64 | 1996 | North America
|       | Wayne Gretzky's 3D Hockey                        | Midway                  | Nintendo 64 | 1996 | North America
|       | Wayne Gretzky's 3D Hockey '98                    | Midway                  | Nintendo 64 | 1997 | North America
|       | WCW Backstage Assault                            | Electronic Arts         | Nintendo 64 | 2000 | North America
|       | WCW Mayhem                                       | EA Sports               | Nintendo 64 | 1999 | North America
|       | WCW Nitro                                        | THQ                     | Nintendo 64 | 1999 | North America
|       | WCW vs. NWO: World Tour                          | THQ                     | Nintendo 64 | 1997 | North America
|       | WCW/NWO Revenge                                  | THQ                     | Nintendo 64 | 1998 | North America
|       | Wetrix                                           | Ocean                   | Nintendo 64 | 1998 | North America
|       | Wheel of Fortune                                 | GameTek                 | Nintendo 64 | 1997 | North America
|       | WinBack: Covert Operations                       | Koei                    | Nintendo 64 | 1999 | North America
|       | WipeOut 64                                       | Midway                  | Nintendo 64 | 1998 | North America
|       | World Cup 98                                     | EA Sports               | Nintendo 64 | 1998 | North America
|       | World Driver Championship                        | Midway                  | Nintendo 64 | 1999 | North America
|       | Worms Armageddon                                 | Infogrames              | Nintendo 64 | 2000 | North America
|       | WWF Attitude                                     | Acclaim                 | Nintendo 64 | 1999 | North America
|       | WWF No Mercy                                     | THQ                     | Nintendo 64 | 2000 | North America
|       | WWF War Zone                                     | Acclaim                 | Nintendo 64 | 1998 | North America
|       | WWF Wrestlemania 2000                            | THQ                     | Nintendo 64 | 1999 | North America
|       | Xena: Warrior Princess - The Talisman of Fate    | Titus Software          | Nintendo 64 | 1999 | North America
|       | Yoshi's Story                                    | Nintendo                | Nintendo 64 | 1998 | North America
