|       | Disney Princess: Enchanting Storybooks                                | THQ                                    | Nintendo Wii | 2011 | Europe
|       | Disney Princess: My Fairytale Adventure                               | Disney Interactive Studios             | Nintendo Wii | 2012 | Europe
|       | Disney Sing It                                                        | Disney Interactive Studios             | Nintendo Wii | 2008 | Europe
|       | Disney Sing It: Family Hits                                           | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Disney Sing It: Party Hits                                            | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Disney Sing It: Pop Hits                                              | Disney Interactive Studios             | Nintendo Wii | 2009 | Europe
|       | Disney Sing It! High School Musical 3: Senior Year                    | Disney Interactive Studios             | Nintendo Wii | 2008 | Europe
|       | Disney Tangled: The Video Game                                        | Disney Interactive Studios             | Nintendo Wii | 2011 | Europe
|       | Disney TH!NK Fast                                                     | Disney Interactive Studios             | Nintendo Wii | 2008 | Europe
|       | Disney Universe                                                       | Disney Interactive Studios             | Nintendo Wii | 2011 | Europe
|       | Disney's Chicken Little: Ace in Action                                | Buena Vista Games                      | Nintendo Wii | 2007 | Europe
|       | Disney's Meet the Robinsons                                           | Disney Interactive Studios             | Nintendo Wii | 2007 | Europe
|       | Disney/Pixar Brave                                                    | Disney Interactive Studios             | Nintendo Wii | 2012 | Europe
|       | Disney/Pixar Ratatouille                                              | THQ                                    | Nintendo Wii | 2007 | Europe
|       | Disney/Pixar Toy Story 3                                              | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Disney/Pixar Toy Story Mania                                          | Disney Interactive Studios             | Nintendo Wii | 2009 | Europe
|       | Diva Girls: Diva Ballerina                                            | 505 Games                              | Nintendo Wii | 2010 | Europe
|       | Diva Girls: Princess on Ice                                           | 505 Games                              | Nintendo Wii | 2009 | Europe
|       | DJ Hero                                                               | Activision                             | Nintendo Wii | 2009 | Europe
|       | DJ Hero 2                                                             | Activision                             | Nintendo Wii | 2010 | Europe
|       | Doctor Who: Return to Earth                                           | Koch Media                             | Nintendo Wii | 2010 | Europe
|       | Dodge Racing: Charger vs Challenger                                   | Funbox Media                           | Nintendo Wii | 2010 | Europe
|       | Dog Island, The                                                       | Ubisoft                                | Nintendo Wii | 2008 | Europe
|       | Dogz                                                                  | Ubisoft                                | Nintendo Wii | 2007 | Europe
|       | Dokapon Kingdom                                                       | BigBen Interactive                     | Nintendo Wii | 2010 | Europe
|       | Don King Boxing                                                       | 2K Sports                              | Nintendo Wii | 2009 | Europe
|       | Donkey Kong Country Returns                                           | Nintendo                               | Nintendo Wii | 2010 | Europe
|       | Donkey Kong: Jet Race                                                 | Nintendo                               | Nintendo Wii | 2008 | Europe
|       | Dood's Big Adventure                                                  | THQ                                    | Nintendo Wii | 2011 | Europe
|       | Dora the Explorer: Dora Saves the Crystal Kingdom                     | Take-Two Interactive                   | Nintendo Wii | 2009 | Europe
|       | Dora the Explorer: Dora Saves the Snow Princess                       | Take-Two Interactive                   | Nintendo Wii | 2008 | Europe
|       | Dora's Big Birthday Adventure                                         | Take-Two Interactive                   | Nintendo Wii | 2010 | Europe
|       | Drag & Stock Racer                                                    | Nordic Games Publishing                | Nintendo Wii | 2010 | Europe
|       | Dragon Ball Z: Budokai Tenkaichi 2                                    | Atari SA                               | Nintendo Wii | 2007 | Europe
|       | Dragon Ball Z: Budokai Tenkaichi 3                                    | Atari SA                               | Nintendo Wii | 2008 | Europe
|       | Dragon Blade: Wrath of Fire                                           | D3Publisher                            | Nintendo Wii | 2007 | Europe
|       | Dragon Quest Swords: The Masked Queen and the Tower of Mirrors        | Square Enix                            | Nintendo Wii | 2008 | Europe
|       | Dragonball: Revenge of King Piccolo                                   | Namco Bandai Games                     | Nintendo Wii | 2009 | Europe
|       | Drawn to Life: The Next Chapter                                       | THQ                                    | Nintendo Wii | 2009 | Europe
|       | Dream Pinball 3D                                                      | SouthPeak Games                        | Nintendo Wii | 2008 | Europe
