|       | Gambler Densetsu Tetsuya: Yomigaeru Densetsu                                                      | Athena                       | Game Boy Advance | 2002 | Japan
|       | Game Boy Wars Advance 1+2                                                                         | Nintendo                     | Game Boy Advance | 2004 | Japan
|       | Ganbare! Dodge Fighters                                                                           | Bandai                       | Game Boy Advance | 2005 | Japan
|       | Gegege no Kitarou: Kiki Ippatsu! Youkai Rettou                                                    | Konami                       | Game Boy Advance | 2003 | Japan
|       | Gekitou Densetsu Noah: Dream Management                                                           | Game Village                 | Game Boy Advance | 2003 | Japan
|       | Gekitou! Car Battler Go!!                                                                         | Victor Interactive Software  | Game Boy Advance | 2001 | Japan
|       | Genseishin Justirisers: Sochaku! Chikyuu no Senshi-tachi                                          | Konami                       | Game Boy Advance | 2004 | Japan
|       | Gensou Maden Saiyuuki: Hangyaku no Toshin Taishi                                                  | Digital Kids                 | Game Boy Advance | 2003 | Japan
|       | Gensou Suikoden: Card Stories                                                                     | Konami                       | Game Boy Advance | 2001 | Japan
|       | Get Ride! AMDriver: Senkou no Hero Tanjou                                                         | Konami                       | Game Boy Advance | 2004 | Japan
|       | Get Ride! AMDriver: Shutsugeki! Battle Party                                                      | Konami                       | Game Boy Advance | 2004 | Japan
|       | GET! Boku no Mushi Tsukamaete                                                                     | Kemco                        | Game Boy Advance | 2003 | Japan
|       | GetBackers Dakkanya: Jagan Fuuin!                                                                 | Konami                       | Game Boy Advance | 2003 | Japan
