|       | Judge Dredd: Dredd VS Death                                          | Sierra Entertainment         | Xbox   | 2003 | Europe
|       | Juiced                                                               | THQ                          | Xbox   | 2005 | Europe
|       | Jurassic Park: Operation Genesis                                     | Konami                       | Xbox   | 2003 | Europe
|       | Just Cause                                                           | Eidos Interactive            | Xbox   | 2006 | Europe
|       | Justice League Heroes                                                | Eidos Interactive            | Xbox   | 2006 | Europe
|       | Kao the Kangaroo Round 2                                             | JoWooD Entertainment AG      | Xbox   | 2005 | Europe
|       | Kelly Slater's Pro Surfer                                            | Activision                   | Xbox   | 2002 | Europe
|       | King Arthur                                                          | Konami                       | Xbox   | 2005 | Europe
|       | King of Fighters 2002, The                                           | Ignition Entertainment       | Xbox   | 2005 | Europe
|       | Kingdom Under Fire: Heroes                                           | Deep Silver                  | Xbox   | 2005 | Europe
|       | Kingdom Under Fire: The Crusaders                                    | Phantagram                   | Xbox   | 2004 | Europe
|       | Knights of the Temple II                                             | TDK Mediactive               | Xbox   | 2005 | Europe
|       | Knights of the Temple: Infernal Crusade                              | TDK Mediactive               | Xbox   | 2004 | Europe
|       | Knockout Kings 2002                                                  | Electronic Arts              | Xbox   | 2002 | Europe
