|       | Freestyle Metal X                                                         | Midway                                 | Xbox   | 2003 | NTSC (NA)
|       | Freestyle Street Soccer                                                   | Acclaim                                | Xbox   | 2004 | NTSC (NA)
|       | Frogger Beyond                                                            | Konami                                 | Xbox   | 2002 | NTSC (NA)
|       | Frogger: Ancient Shadow                                                   | Konami                                 | Xbox   | 2005 | NTSC (NA)
|       | From Russia With Love                                                     | Electronic Arts                        | Xbox   | 2005 | NTSC (NA)
|       | Full Spectrum Warrior                                                     | THQ                                    | Xbox   | 2004 | NTSC (NA)
|       | Full Spectrum Warrior: Ten Hammers                                        | THQ                                    | Xbox   | 2006 | NTSC (NA)
|       | Furious Karting                                                           | Atari                                  | Xbox   | 2003 | NTSC (NA)
|       | Futurama                                                                  | VU Games                               | Xbox   | 2003 | NTSC (NA)
|       | Future Tactics: The Uprising                                              | Crave                                  | Xbox   | 2004 | NTSC (NA)
|       | Fuzion Frenzy                                                             | Microsoft Game Studios                 | Xbox   | 2001 | NTSC (NA)
|       | Galleon: Islands of Mystery                                               | ATLUS                                  | Xbox   | 2004 | NTSC (NA)
|       | Gauntlet Dark Legacy                                                      | Midway                                 | Xbox   | 2002 | NTSC (NA)
|       | Gauntlet: Seven Sorrows                                                   | Midway                                 | Xbox   | 2005 | NTSC (NA)
|       | Genma Onimusha                                                            | Capcom                                 | Xbox   | 2002 | NTSC (NA)
|       | Gladiator: Sword of Vengeance                                             | Acclaim                                | Xbox   | 2003 | NTSC (NA)
|       | Gladius                                                                   | LucasArts                              | Xbox   | 2003 | NTSC (NA)
|       | Goblin Commander: Unleash the Horde                                       | Jaleco Entertainment                   | Xbox   | 2003 | NTSC (NA)
|       | Godfather: The Game, The                                                  | Electronic Arts                        | Xbox   | 2006 | NTSC (NA)
|       | Godzilla: Destroy All Monsters Melee                                      | Atari                                  | Xbox   | 2003 | NTSC (NA)
|       | Godzilla: Save the Earth                                                  | Atari                                  | Xbox   | 2004 | NTSC (NA)
|       | GoldenEye: Rogue Agent                                                    | EA Games                               | Xbox   | 2004 | NTSC (NA)
|       | Grabbed by the Ghoulies                                                   | Microsoft Game Studios                 | Xbox   | 2003 | NTSC (NA)
|       | Grand Theft Auto Double Pack                                              | Rockstar Games                         | Xbox   | 2003 | NTSC (NA)
|       | Grand Theft Auto III                                                      | Rockstar Games                         | Xbox   | 2003 | NTSC (NA)
|       | Grand Theft Auto: San Andreas                                             | Rockstar Games                         | Xbox   | 2005 | NTSC (NA)
|       | Grand Theft Auto: The Trilogy                                             | Rockstar Games                         | Xbox   | 2005 | NTSC (NA)
|       | Grand Theft Auto: Vice City                                               | Rockstar Games                         | Xbox   | 2003 | NTSC (NA)
|       | Gravity Games Bike: Street Vert Dirt                                      | Midway                                 | Xbox   | 2002 | NTSC (NA)
