|       | Ninja Ryuukenden                                            | Hudson                       | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Ninja Warriors, The                                         | Taito Corporation            | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Obocchamakun                                                | Namco                        | TurboGrafx-16 | 1991 | NTSC (JP)
|       | Operation Wolf                                              | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Ordyne                                                      | Namco                        | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Out Live                                                    | SunSoft                      | TurboGrafx-16 | 1989 | NTSC (JP)
|       | OutRun                                                      | NEC Interchannel             | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Override                                                    | Data East                    | TurboGrafx-16 | 1991 | NTSC (JP)
|       | P-47: The Freedom Fighter                                   | Aicom                        | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Pac-Land                                                    | Namco                        | TurboGrafx-16 | 1989 | NTSC (JP)
|       | Pachi-Slot PC: Idol Gambler                                 | Games Express                | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Pachiokun: Juban Shobu                                      | Coconuts Japan               | TurboGrafx-16 | 1992 | NTSC (JP)
|       | Paranoia                                                    | Naxat Soft                   | TurboGrafx-16 | 1990 | NTSC (JP)
|       | Parasol Stars: The Story of Bubble Bobble III               | Taito Corporation            | TurboGrafx-16 | 1991 | NTSC (JP)
